fee_type,description,applies_to_bank_account,direction,d365_bank_transaction_type,ledger_account,offset_account,journal_name,max_auto_post_amount,currency,requires_approval_above,approver_role,financial_dimension_default,active,notes
Bank Fee,General bank charges booked as their own statement line,ALL,Debit,FEE,610100,110100,BANKREC,250.00,EUR,250.00,Finance Manager,Cost Centre 9100 Administration,Yes,Shape A. Posts through a Generate voucher rule
Bank Fee Deducted,Bank charge deducted inside an incoming payment,ALL,Debit,FEE,610100,110100,BANKREC,100.00,EUR,100.00,Finance Manager,Cost Centre 9100 Administration,Yes,Shape B. Residual on settlement goes to this offset account
Interest,Interest credited by the bank,ALL,Credit,INT,810100,110100,BANKREC,0.00,EUR,0.00,Finance Manager,Cost Centre 9100 Administration,Yes,Interest income. Review every posting until the mapping is proven
Interest Expense,Interest charged by the bank,ALL,Debit,INT,610200,110100,BANKREC,250.00,EUR,250.00,Finance Manager,Cost Centre 9100 Administration,Yes,Separate account from interest income
Service Charge,Account management and periodic service charges,ALL,Debit,SVC,610110,110100,BANKREC,500.00,EUR,500.00,Finance Manager,Cost Centre 9100 Administration,Yes,Usually monthly and predictable. Safe to automate once mapped
Wire Transfer Fee,Fee charged on a cross border transfer,BANK-USD-01;BANK-CHF-01,Debit,WIRE,610120,110100,BANKREC,150.00,EUR,150.00,Finance Manager,Cost Centre 9100 Administration,Yes,Keep separate from the general bank fee account for cost visibility
FX Gain,Realised exchange rate gain on settlement or residual,BANK-USD-01;BANK-CHF-01,Credit,FXDIFF,820100,110100,BANKREC,1000.00,EUR,1000.00,Finance Manager,Cost Centre 9100 Administration,Yes,Not a fee. Never net against a charge
FX Loss,Realised exchange rate loss on settlement or residual,BANK-USD-01;BANK-CHF-01,Debit,FXDIFF,620100,110100,BANKREC,1000.00,EUR,1000.00,Finance Manager,Cost Centre 9100 Administration,Yes,Not a fee. Never net against a charge
Returned Collection Fee,Fee charged when a direct debit collection is returned,BANK-EUR-02,Debit,NSF,610130,110100,BANKREC,50.00,EUR,50.00,Fundraising Controller,Cost Centre 4100 Fundraising,Yes,Donation collection account. Track separately for campaign cost reporting
Other,Anything not classified above,ALL,Both,OTHR,619900,110100,BANKREC,0.00,EUR,0.00,Finance Manager,Cost Centre 9100 Administration,Yes,Zero auto post ceiling on purpose. Every Other line gets a human decision
